City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Wells,GB,51.2079,-2.649,51.94,91,86,20.98,light rain
228,Taoudenni,ML,22.6783,-3.9836,63.34,12,46,12.8,scattered clouds
229,Buin,CL,-33.7333,-70.75,65.73,67,0,2.8,clear sky
230,Purgstall,AT,48.0584,15.1348,42.53,99,100,15.48,overcast clouds
231,Ambilobe,MG,-13.2,49.05,71.26,75,6,3.4,clear sky
232,Cherskiy,RU,68.75,161.3,-15.66,98,100,5.73,overcast clouds
233,Tashtyp,RU,52.7939,89.8983,14.86,87,15,5.01,few clouds
234,Hasaki,JP,35.7333,140.8333,66.6,74,100,23.58,light rain
235,Ahuimanu,US,21.4447,-157.8378,83.91,68,40,12.66,light rain
236,Roald,NO,62.5833,6.1333,33.01,86,90,4.61,light snow
237,Geraldton,AU,-28.7667,114.6,72.12,49,0,21.85,clear sky
238,Hue,VN,16.4667,107.6,68.11,94,75,6.91,mist
239,Coihaique,CL,-45.5752,-72.0662,52.41,66,0,4.61,clear sky
240,Campoverde,PE,-8.4753,-74.8058,76.69,76,100,1.23,overcast clouds
241,Dhidhdhoo,MV,6.8833,73.1,81.55,78,93,10.25,overcast clouds
242,Kharan,PK,28.5833,65.4167,57.83,30,25,4.25,scattered clouds
243,San Juan,AR,-31.5375,-68.5364,71.04,49,1,24.63,clear sky
244,Tilichiki,RU,60.4667,166.1,2.86,93,25,5.46,scattered clouds
245,Kitami,JP,43.8031,143.8908,58.28,83,100,30.24,moderate rain
246,Marrakesh,MA,31.6315,-8.0083,48.27,61,0,3.44,clear sky
247,Barranca,PE,-10.75,-77.7667,64.89,84,100,6.24,overcast clouds
248,Moree,AU,-29.4667,149.85,78.82,73,75,8.05,broken clouds
249,Timra,SE,62.487,17.3257,10.08,79,50,9.22,scattered clouds
250,Gouyave,GD,12.1646,-61.7296,80.11,84,100,23.22,overcast clouds
251,Aksu,CN,41.1231,80.2644,23.22,53,86,1.92,overcast clouds
252,Punta Cardon,VE,11.6581,-70.215,79.77,79,73,24.94,broken clouds
253,Maraba,BR,-5.3686,-49.1178,73.36,94,64,1.77,broken clouds
254,De Aar,ZA,-30.6497,24.0123,60.84,54,0,6.11,clear sky
255,Dingle,PH,10.9995,122.6711,81.14,81,100,5.79,overcast clouds
256,Mahebourg,MU,-20.4081,57.7,77.29,78,40,4.61,scattered clouds
257,Margate,GB,51.3813,1.3862,52.97,87,100,5.99,overcast clouds
258,Vao,NC,-22.6667,167.4833,76.66,87,4,20.13,clear sky
259,Alta Floresta,BR,-9.8756,-56.0861,73.0,93,100,0.6,light rain
260,Cabo San Lucas,MX,22.8909,-109.9124,75.51,73,40,3.44,scattered clouds
261,Telford,GB,52.6766,-2.4493,49.71,45,75,18.41,broken clouds
262,Kavaratti,IN,10.5669,72.642,81.79,78,71,15.28,broken clouds
263,Mercedes,AR,-34.6515,-59.4307,67.17,73,68,9.26,broken clouds
264,College,US,64.8569,-147.8028,1.35,74,75,0.0,broken clouds
265,Socorro,US,31.6546,-106.3033,61.88,42,20,0.0,few clouds
266,Egvekinot,RU,66.3167,-179.1667,-17.0,83,1,7.23,clear sky
267,Mezen,RU,65.8522,44.24,16.9,86,100,14.7,overcast clouds
268,Miram Shah,PK,33.0086,70.0697,54.0,26,98,3.44,overcast clouds
269,Antofagasta,CL,-23.65,-70.4,63.68,79,16,4.23,few clouds
270,Kuching,MY,1.55,110.3333,86.22,74,20,3.44,few clouds
271,Yelnya,RU,54.5786,33.1837,24.19,90,100,14.27,overcast clouds
272,Camacha,PT,33.0833,-16.3333,60.22,77,20,9.22,few clouds
273,Le Passage,FR,44.2014,0.6028,47.55,100,90,9.22,mist
274,Dudinka,RU,69.4058,86.1778,-21.39,100,70,1.99,broken clouds
275,Brae,GB,60.3964,-1.353,37.31,63,97,16.15,overcast clouds
276,Nizwa,OM,22.9333,57.5333,65.26,65,11,2.46,few clouds
277,Tutoia,BR,-2.7619,-42.2744,80.69,79,100,12.24,overcast clouds
278,Cap Malheureux,MU,-19.9842,57.6142,77.49,81,1,3.0,clear sky
279,Pangai,TO,-19.8,-174.35,80.71,61,75,17.27,light rain
280,San Cristobal,VE,7.7669,-72.225,71.78,93,52,1.54,broken clouds
281,Asau,RO,46.4333,26.4,38.39,50,100,17.78,overcast clouds
282,Fez,MA,34.0372,-4.9998,43.05,100,0,9.22,clear sky
283,Shelburne,CA,44.0787,-80.2041,33.26,96,100,16.08,overcast clouds
284,Loa Janan,ID,-0.583,117.095,85.21,71,100,1.68,overcast clouds
285,Kemin,KG,42.7846,75.6892,34.86,55,0,9.15,clear sky
286,Airai,TL,-8.9266,125.4092,77.38,46,38,1.77,scattered clouds
287,Fairbanks,US,64.8378,-147.7164,1.36,75,75,0.0,broken clouds
288,Westport,US,41.1415,-73.3579,42.58,74,90,1.01,overcast clouds
289,Klaksvik,FO,62.2266,-6.589,32.92,61,62,19.48,broken clouds
290,Galle,LK,6.0367,80.217,78.15,85,13,3.83,few clouds
291,Muravlenko,RU,63.7898,74.523,-0.18,95,100,19.08,light snow
292,Sivaki,RU,52.6333,126.75,4.03,72,4,6.76,clear sky
293,Faanui,PF,-16.4833,-151.75,81.86,72,100,18.7,light rain
294,Vaini,TO,-21.2,-175.2,82.56,83,40,10.36,light rain
295,Port Hardy,CA,50.6996,-127.4199,50.76,100,90,2.3,moderate rain
296,Holme,DK,56.1138,10.1725,35.64,89,100,7.58,overcast clouds
297,Iquitos,PE,-3.7481,-73.2472,77.04,94,75,1.14,broken clouds
298,Khandbari,NP,27.3747,87.2039,60.33,59,6,2.1,clear sky
299,Chifeng,CN,42.2683,118.9636,26.08,40,0,13.02,clear sky
300,Vila Velha,BR,-20.3297,-40.2925,80.55,87,75,13.0,broken clouds
301,Lompoc,US,34.6391,-120.4579,69.21,85,1,4.61,clear sky
302,Townsville,AU,-19.25,146.8,86.88,66,20,10.36,few clouds
303,Alofi,NU,-19.0595,-169.9187,84.09,61,75,19.57,broken clouds
304,Pho Chai,TH,16.3283,103.7703,76.01,63,99,15.26,overcast clouds
305,Yatou,CN,37.15,122.3833,41.34,45,99,21.03,overcast clouds
306,Japura,ID,-0.3167,102.35,85.59,58,34,1.88,scattered clouds
307,Kupang,ID,-10.1667,123.5833,86.58,79,40,4.61,scattered clouds
308,Guerrero Negro,MX,27.9769,-114.0611,63.34,84,0,9.89,clear sky
309,Mabaruma,GY,8.2,-59.7833,74.95,95,100,4.47,overcast clouds
310,Cariamanga,EC,-4.3333,-79.55,54.9,90,100,1.41,light rain
311,Obregon,NI,11.9566,-85.9636,77.56,61,9,6.71,clear sky
312,Dabat,ET,12.9842,37.765,51.75,39,0,6.08,clear sky
313,Ligayan,PH,4.6533,119.4706,81.45,80,100,11.61,overcast clouds
314,Mirpur Sakro,PK,24.5474,67.6277,62.82,23,0,10.27,clear sky
315,Hamilton,US,39.1834,-84.5333,45.23,76,1,0.0,clear sky
316,Sangin,AF,32.0728,64.8359,50.92,34,0,1.48,clear sky
317,Hammerfest,NO,70.6634,23.6821,18.05,62,0,8.05,clear sky
318,Bethel,US,41.3712,-73.414,39.49,83,90,3.44,overcast clouds
319,Dawlatabad,AF,36.4141,64.9053,53.62,38,0,2.51,clear sky
320,Bako,ET,5.7833,36.5667,62.58,55,98,4.21,overcast clouds
321,Touros,BR,-5.1989,-35.4608,81.5,78,54,9.93,broken clouds
322,Kisangani,CD,0.5167,25.2,68.45,100,100,2.13,moderate rain
323,Suhbaatar,MN,50.2314,106.2078,7.97,90,88,6.13,overcast clouds
324,Acapulco,MX,16.8634,-99.8901,80.42,83,75,4.61,broken clouds
325,Chake Chake,TZ,-5.2459,39.7666,76.37,87,76,4.65,light rain
326,Swan Hill,AU,-35.3378,143.5544,90.45,30,50,7.52,scattered clouds
327,Seymchan,RU,62.8833,152.4333,-33.27,99,62,1.1,broken clouds
328,Bud,US,39.447,-86.1758,42.82,80,1,5.53,clear sky
329,Ergani,TR,38.2653,39.7621,47.75,77,74,4.03,broken clouds
330,Mumford,GH,5.2618,-0.759,79.54,81,90,5.77,overcast clouds
331,Bull Savanna,JM,17.8868,-77.5902,74.08,82,100,4.85,overcast clouds
332,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,94,100,8.05,overcast clouds
333,Ancud,CL,-41.8697,-73.8203,53.42,86,100,6.76,overcast clouds
334,Qesarya,IL,32.5189,34.9046,69.01,63,100,15.1,overcast clouds
335,Taltal,CL,-25.4,-70.4833,62.24,80,26,3.44,scattered clouds
336,Russell,US,32.3502,-85.1999,47.98,56,1,3.44,clear sky
337,Kovylkino,RU,54.0388,43.9139,31.62,76,100,13.2,overcast clouds
338,Tornio,FI,65.8481,24.1466,10.42,89,100,13.71,overcast clouds
339,Sechura,PE,-5.5569,-80.8222,67.14,81,33,12.48,scattered clouds
340,Mushie,CD,-3.0167,16.9,71.15,95,100,2.01,overcast clouds
341,Shenkursk,RU,62.1091,42.896,30.47,98,100,4.03,snow
342,Santa Fe Do Sul,BR,-20.2111,-50.9258,73.44,90,43,3.24,scattered clouds
343,Poum,NC,-20.2333,164.0167,81.82,77,9,15.79,clear sky
344,Businga,CD,3.3333,20.8833,68.59,93,97,0.96,overcast clouds
345,Macau,MO,22.2006,113.5461,64.78,51,0,25.32,clear sky
346,Putyatino,RU,54.16,41.1169,29.28,70,95,13.87,overcast clouds
