City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
310,Sinnai,20,IT,2021-11-28 19:51:34,71,39.3042,9.2036,50.52,3.44
311,Panama City,40,PA,2021-11-28 19:50:27,79,8.9936,-79.5197,82.35,9.22
312,Atar,2,MR,2021-11-28 19:51:34,33,20.5169,-13.0499,66.24,11.18
313,Andenes,90,NO,2021-11-28 19:47:34,93,69.3143,16.1194,26.58,5.75
314,Smithers,75,CA,2021-11-28 19:51:34,87,54.7804,-127.1743,37.72,3.44
315,Odienne,12,CI,2021-11-28 19:52:35,38,9.51,-7.5692,79.79,1.77
316,Kalianget,100,ID,2021-11-28 19:52:35,91,-7.05,113.9333,75.02,4.52
317,Sri Aman,99,MY,2021-11-28 19:52:35,94,1.2376,111.4621,73.45,0.0
318,Sitka,75,US,2021-11-28 19:42:47,86,57.0531,-135.33,31.89,5.75
319,Zharkent,0,KZ,2021-11-28 19:52:36,39,44.1628,80.0,28.29,4.18
320,Morondava,0,MG,2021-11-28 19:52:36,77,-20.2833,44.2833,74.25,2.06
321,Lagoa,60,PT,2021-11-28 19:50:21,55,39.05,-27.9833,60.42,1.59
322,Port-Cartier,100,CA,2021-11-28 19:52:36,65,50.0334,-66.8654,32.22,14.29
323,Komarikhinskiy,100,RU,2021-11-28 19:52:37,94,58.0979,57.1163,27.59,10.45
324,Aykhal,100,RU,2021-11-28 19:52:37,97,66.0,111.5,-15.05,3.89
325,Koygorodok,100,RU,2021-11-28 19:52:37,98,60.445,50.9968,33.39,10.33
326,Nicoya,57,CR,2021-11-28 19:52:37,69,10.1483,-85.452,89.15,11.9
327,Zemio,100,CF,2021-11-28 19:52:38,46,5.0314,25.1361,78.22,3.0
328,Ranong,100,TH,2021-11-28 19:47:51,86,9.9658,98.6348,75.11,3.15
329,Novokruchininskiy,100,RU,2021-11-28 19:52:38,88,51.7833,113.7667,1.13,2.01
330,Camabatela,98,AO,2021-11-28 19:52:38,97,-8.1881,15.375,62.47,2.33
331,Liverpool,20,GB,2021-11-28 19:52:39,93,53.4106,-2.9779,31.95,8.05
332,Joensuu,0,FI,2021-11-28 19:52:39,85,62.6012,29.7632,12.69,3.44
333,Sinnamary,22,GF,2021-11-28 19:43:23,71,5.3833,-52.95,82.18,7.72
334,Luanda,0,AO,2021-11-28 19:48:02,74,-8.8368,13.2343,80.6,6.91
335,Groton,90,US,2021-11-28 19:52:39,75,41.3501,-72.0784,38.91,5.75
336,Chippewa Falls,1,US,2021-11-28 19:50:02,38,44.9369,-91.3929,38.34,13.8
337,Lavrentiya,3,RU,2021-11-28 19:52:40,91,65.5833,-171.0,-12.75,6.76
338,Aksu,4,CN,2021-11-28 19:52:40,59,41.1231,80.2644,26.94,3.67
339,Talnakh,66,RU,2021-11-28 19:52:40,98,69.4865,88.3972,-15.72,2.28
340,Purpe,99,RU,2021-11-28 19:52:41,100,64.4803,76.6897,-18.24,4.88
341,Karoi,95,ZW,2021-11-28 19:52:41,51,-16.8099,29.6925,66.27,5.91
342,Svetlogorsk,100,BY,2021-11-28 19:52:41,96,52.6333,29.7333,39.99,8.23
343,Old Orchard Beach,100,US,2021-11-28 19:52:42,33,43.5173,-70.3775,36.97,6.49
344,Grindavik,90,IS,2021-11-28 19:51:10,100,63.8424,-22.4338,43.27,13.8
345,Aswan,0,EG,2021-11-28 19:52:42,29,24.0934,32.907,76.3,8.05
346,Maarianhamina,90,AX,2021-11-28 19:52:42,80,60.0973,19.9348,24.66,10.36
347,Vao,22,NC,2021-11-28 19:52:39,88,-22.6667,167.4833,75.88,21.7
348,Ambilobe,80,MG,2021-11-28 19:52:43,85,-13.2,49.05,76.42,2.55
349,Guadalajara,93,MX,2021-11-28 19:49:39,33,20.6667,-103.3333,78.19,2.24
350,Martapura,90,ID,2021-11-28 19:52:44,98,-3.4167,114.85,73.49,4.61
351,Den Helder,75,NL,2021-11-28 19:50:38,70,52.9599,4.7593,44.58,8.05
352,Leshukonskoye,100,RU,2021-11-28 19:52:44,93,64.8989,45.7622,11.3,7.16
353,Garowe,13,SO,2021-11-28 19:52:45,45,8.4054,48.4845,75.25,14.43
354,Abis,25,PH,2021-11-28 19:52:45,95,9.7173,122.9438,74.68,4.92
355,Lianzhou,0,CN,2021-11-28 19:52:45,87,24.7811,112.3825,53.04,3.71
356,Seguela,61,CI,2021-11-28 19:52:46,45,7.9611,-6.6731,82.17,4.54
357,Zyryanskoye,99,RU,2021-11-28 19:52:46,92,56.8306,86.6258,19.08,12.01
358,Cururupu,70,BR,2021-11-28 19:49:03,67,-1.8283,-44.8683,84.07,5.75
359,Asfi,0,MA,2021-11-28 19:52:46,54,32.2994,-9.2372,58.05,20.58
