City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
655,Salaya,IN,75.52,overcast clouds,22.3167,69.6,sumbhaiya suny Muslim Jama
658,Itaituba,BR,76.3,broken clouds,-4.2761,-55.9836,Hotel Campos
659,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
664,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
665,Harper,LR,78.67,overcast clouds,4.375,-7.7169,Screensaver
669,Payakumbuh,ID,80.06,broken clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
670,Sigli,ID,80.31,overcast clouds,5.3848,95.9609,Losmen Dua Mali
674,Kinablangan,PH,84.81,overcast clouds,7.6947,126.5503,The Butler’s Haus
676,Sao Mateus,BR,75.0,overcast clouds,-18.7161,-39.8589,Hotel Rio Norte
683,Santa Ana,US,78.73,haze,33.7456,-117.8678,Santa Ana Travel Inn
685,Amahai,ID,85.35,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
